Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
1	Alex Abrines	SG	25	OKC	31	2	19.0	1.8	5.1	.357	1.3	4.1	.323	0.5	1.0	.500	.487	0.4	0.4	.923	0.2	1.4	1.5	0.6	0.5	0.2	0.5	1.7	5.3
2	Quincy Acy	PF	28	PHO	10	0	12.3	0.4	1.8	.222	0.2	1.5	.133	0.2	0.3	.667	.278	0.7	1.0	.700	0.3	2.2	2.5	0.8	0.1	0.4	0.4	2.4	1.7
3	Jaylen Adams	PG	22	ATL	9	0	4.8	0.3	1.1	.300	0.2	0.7	.333	0.1	0.4	.250	.400	0.0	0.0		0.0	0.3	0.3	0.7	0.3	0.1	0.1	0.4	0.9
4	Steven Adams	C	25	OKC	49	49	34.0	6.5	10.7	.607	0.0	0.0	.000	6.5	10.6	.608	.607	2.4	4.2	.558	4.7	5.3	9.9	1.8	1.5	0.8	1.6	2.6	15.3
5	Bam Adebayo	C	21	MIA	51	6	22.1	3.0	5.3	.563	0.0	0.2	.111	3.0	5.2	.578	.564	2.1	2.8	.729	2.0	4.7	6.7	2.0	0.7	0.8	1.4	2.6	8.1
6	Deng Adel	SF	21	CLE	7	0	9.7	0.7	1.6	.455	0.4	1.0	.429	0.3	0.6	.500	.591	0.3	0.3	1.000	0.3	0.9	1.1	0.3	0.1	0.3	0.4	0.9	2.1
7	DeVaughn Akoon-Purcell	SG	25	DEN	7	0	3.1	0.4	1.4	.300	0.0	0.6	.000	0.4	0.9	.500	.300	0.1	0.3	.500	0.1	0.4	0.6	0.9	0.3	0.0	0.3	0.6	1.0
8	LaMarcus Aldridge	C	33	SAS	54	54	32.6	8.3	16.1	.516	0.1	0.4	.211	8.3	15.8	.523	.518	4.4	5.2	.850	3.1	5.9	8.9	2.6	0.5	1.2	1.9	2.1	21.1
9	Rawle Alkins	SG	21	CHI	2	0	2.0	0.5	2.0	.250	0.5	0.5	1.000	0.0	1.5	.000	.375	0.0	0.0		1.5	0.0	1.5	1.0	0.5	0.0	0.0	0.0	1.5
10	Grayson Allen	SG	23	UTA	26	1	10.4	1.3	4.0	.314	0.7	2.5	.273	0.6	1.5	.385	.400	1.0	1.3	.735	0.0	0.4	0.4	0.7	0.1	0.1	0.6	1.2	4.2
11	Jarrett Allen	C	20	BRK	52	52	26.7	4.3	7.4	.578	0.1	0.6	.156	4.2	6.8	.616	.585	2.5	3.4	.734	2.5	6.1	8.7	1.5	0.6	1.5	1.4	2.2	11.1
12	Kadeem Allen	SG	26	NYK	3	1	23.7	2.3	5.7	.412	0.3	1.0	.333	2.0	4.7	.429	.441	2.7	2.7	1.000	0.7	3.0	3.7	3.7	0.3	0.0	0.7	3.0	7.7
13	Al-Farouq Aminu	PF	28	POR	52	52	29.6	3.2	7.3	.430	1.3	3.7	.351	1.8	3.6	.513	.520	1.9	2.2	.836	1.6	6.5	8.1	1.2	0.9	0.4	0.8	2.0	9.5
14	Justin Anderson	SF	25	ATL	26	0	8.7	1.1	2.9	.382	0.3	1.4	.216	0.8	1.5	.538	.434	0.6	0.8	.750	0.4	1.2	1.6	0.4	0.4	0.3	0.5	1.0	3.1
15	Kyle Anderson	SF	25	MEM	43	40	29.8	3.5	6.4	.543	0.2	0.8	.265	3.3	5.6	.583	.560	0.9	1.5	.578	1.1	4.7	5.8	3.0	1.3	0.9	1.3	2.6	8.0
16	Ryan Anderson	PF	30	PHO	15	8	18.5	1.3	4.0	.317	0.5	2.3	.206	0.8	1.7	.462	.375	0.7	0.9	.786	0.9	2.1	3.0	1.1	0.2	0.1	0.8	1.5	3.7
17	Ike Anigbogu	C	20	IND	3	0	2.0	0.0	1.0	.000	0.0	0.0		0.0	1.0	.000	.000	0.0	0.0		0.3	0.7	1.0	0.3	0.0	0.3	0.3	0.0	0.0
18	Giannis Antetokounmpo	PF	24	MIL	48	48	33.1	9.8	17.1	.571	0.5	2.4	.197	9.3	14.6	.633	.585	6.6	9.2	.717	2.3	10.2	12.5	5.8	1.5	1.4	3.9	3.5	26.6
19	Carmelo Anthony	PF	34	HOU	10	2	29.4	4.9	12.1	.405	2.1	6.4	.328	2.8	5.7	.491	.492	1.5	2.2	.682	0.9	4.5	5.4	0.5	0.4	0.7	0.8	3.2	13.4
20	OG Anunoby	SF	21	TOR	42	5	20.1	2.9	6.5	.440	1.1	3.3	.331	1.8	3.2	.552	.524	0.4	0.9	.395	0.8	2.1	2.9	0.7	0.6	0.2	0.6	2.0	7.2
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
21	Ryan Arcidiacono	PG	24	CHI	52	24	25.1	2.0	4.7	.424	1.2	3.1	.373	0.8	1.6	.524	.547	0.9	1.0	.900	0.3	2.0	2.3	3.5	1.0	0.0	0.8	2.2	6.0
22	Trevor Ariza	SF	33	TOT	48	48	35.4	4.1	10.8	.382	2.1	6.4	.336	2.0	4.4	.450	.482	1.8	2.2	.804	0.7	5.0	5.7	3.7	1.5	0.2	1.6	1.9	12.1
22	Trevor Ariza	SF	33	PHO	26	26	34.0	3.3	8.7	.379	1.9	5.3	.360	1.4	3.4	.409	.489	1.4	1.7	.837	0.6	5.0	5.6	3.3	1.5	0.3	1.5	1.7	9.9
22	Trevor Ariza	SF	33	WAS	22	22	37.0	5.0	13.1	.384	2.4	7.6	.315	2.6	5.5	.479	.476	2.3	2.9	.781	0.7	5.0	5.8	4.1	1.5	0.1	1.8	2.2	14.8
23	D.J. Augustin	PG	31	ORL	52	52	28.0	3.7	8.1	.463	1.7	3.9	.436	2.0	4.1	.488	.569	2.6	3.0	.871	0.5	1.6	2.2	4.7	0.6	0.0	1.6	1.5	11.8
24	Deandre Ayton	C	20	PHO	48	47	30.9	7.1	12.1	.588	0.0	0.0	.000	7.1	12.1	.590	.588	2.1	2.7	.773	3.2	7.4	10.6	2.0	0.8	1.0	1.8	2.8	16.3
25	Dwayne Bacon	SG	23	CHO	24	0	10.7	1.8	3.5	.530	0.5	1.0	.542	1.3	2.5	.525	.608	0.4	0.5	.833	0.1	1.5	1.6	0.7	0.1	0.0	0.5	1.1	4.6
26	Marvin Bagley	PF	19	SAC	38	1	23.9	5.1	9.8	.516	0.3	1.2	.239	4.8	8.6	.555	.531	2.5	3.8	.667	2.4	4.4	6.8	0.9	0.5	0.9	1.7	2.1	12.9
27	Ron Baker	SG	25	TOT	15	0	10.1	0.3	1.3	.200	0.1	0.9	.077	0.2	0.5	.429	.225	0.3	0.4	.833	0.1	0.7	0.7	1.0	0.4	0.1	0.3	1.2	0.9
27	Ron Baker	SG	25	NYK	11	0	9.7	0.4	1.5	.250	0.1	0.8	.111	0.3	0.6	.429	.281	0.5	0.5	.833	0.1	0.5	0.6	1.2	0.5	0.0	0.3	1.5	1.3
27	Ron Baker	SG	25	WAS	4	0	11.3	0.0	1.0	.000	0.0	1.0	.000	0.0	0.0		.000	0.0	0.0		0.0	1.0	1.0	0.5	0.3	0.3	0.5	0.5	0.0
28	Wade Baldwin	PG	22	POR	16	0	5.9	0.6	2.1	.303	0.1	0.6	.222	0.5	1.5	.333	.333	0.5	0.7	.727	0.1	0.8	0.9	0.8	0.1	0.1	0.9	0.7	1.9
29	Lonzo Ball	PG	21	LAL	47	45	30.3	3.9	9.7	.406	1.6	4.9	.329	2.3	4.9	.482	.488	0.4	1.0	.417	1.1	4.2	5.3	5.4	1.5	0.4	2.2	2.4	9.9
30	Mohamed Bamba	C	20	ORL	47	1	16.3	2.5	5.2	.481	0.4	1.5	.300	2.0	3.7	.555	.525	0.8	1.3	.587	1.4	3.6	5.0	0.8	0.3	1.4	0.9	2.2	6.2
31	J.J. Barea	PG	34	DAL	38	0	19.8	4.2	10.1	.418	1.0	3.4	.297	3.2	6.8	.479	.468	1.4	2.1	.705	0.3	2.2	2.5	5.6	0.6	0.0	1.9	1.3	10.9
32	Harrison Barnes	PF	26	DAL	48	48	32.5	6.0	14.7	.406	2.5	6.4	.390	3.5	8.3	.419	.491	3.4	4.1	.833	0.8	3.5	4.3	1.3	0.7	0.2	1.4	1.6	17.8
33	Will Barton	SG	28	DEN	13	8	25.2	4.8	10.6	.449	1.8	4.5	.390	3.0	6.1	.494	.533	1.7	2.2	.786	0.9	3.5	4.4	2.9	0.2	0.5	1.4	2.2	13.0
34	Keita Bates-Diop	SF	23	MIN	5	0	6.4	0.6	2.2	.273	0.0	1.0	.000	0.6	1.2	.500	.273	0.0	0.4	.000	0.0	1.2	1.2	0.0	0.0	0.2	0.2	0.4	1.2
35	Nicolas Batum	SF	30	CHO	52	52	30.9	3.4	7.3	.468	1.5	3.6	.406	1.9	3.7	.529	.569	1.1	1.3	.855	0.9	4.3	5.2	3.3	0.9	0.5	1.6	1.8	9.4
36	Jerryd Bayless	PG	30	MIN	15	4	20.9	2.9	8.1	.361	1.5	3.9	.373	1.5	4.2	.349	.451	0.5	0.8	.583	0.4	1.9	2.3	4.1	0.6	0.1	1.1	1.6	7.8
37	Aron Baynes	C	32	BOS	34	10	14.9	2.0	4.4	.466	0.5	1.4	.333	1.6	2.9	.530	.520	1.1	1.4	.848	1.8	2.6	4.3	1.1	0.2	0.6	0.8	2.4	5.7
38	Kent Bazemore	SG	29	ATL	38	30	26.6	4.9	11.1	.441	1.5	4.6	.326	3.4	6.5	.522	.508	2.3	3.1	.750	0.6	3.4	3.9	2.5	1.7	0.8	2.1	2.7	13.6
39	Bradley Beal	SG	25	WAS	52	52	37.0	9.1	19.5	.469	2.5	7.2	.352	6.6	12.3	.538	.534	3.9	4.9	.796	1.1	3.9	5.0	5.1	1.4	0.8	2.7	2.9	24.7
40	Malik Beasley	SG	22	DEN	52	9	23.4	4.4	8.7	.506	2.0	4.7	.430	2.4	4.0	.593	.621	0.6	0.7	.868	0.4	2.1	2.5	1.2	0.7	0.1	0.6	1.5	11.4
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
41	Michael Beasley	PF	30	LAL	25	2	10.6	3.0	5.8	.517	0.1	0.6	.200	2.9	5.2	.554	.528	1.1	1.6	.718	0.5	1.7	2.2	0.9	0.4	0.4	1.0	1.6	7.2
42	Marco Belinelli	SG	32	SAS	52	0	22.4	3.8	8.8	.427	2.0	5.1	.398	1.7	3.7	.466	.542	1.6	1.7	.911	0.2	2.1	2.3	1.9	0.5	0.2	0.8	1.7	11.1
43	Jordan Bell	C	24	GSW	46	2	10.9	1.3	2.4	.523	0.0	0.0	.000	1.3	2.4	.527	.523	0.3	0.5	.667	0.7	1.8	2.5	1.2	0.3	0.8	0.5	1.2	2.8
44	DeAndre' Bembry	SG	24	ATL	52	15	24.9	3.4	7.9	.428	0.7	2.4	.293	2.7	5.5	.486	.472	1.1	1.7	.618	0.6	3.6	4.2	2.7	1.3	0.6	1.8	2.5	8.5
45	Dragan Bender	PF	21	PHO	20	5	12.1	1.6	3.7	.432	0.4	1.9	.184	1.3	1.8	.694	.480	0.8	1.2	.667	0.8	1.8	2.5	0.7	0.3	0.2	0.7	1.0	4.4
46	Davis Bertans	PF	26	SAS	48	5	20.6	2.8	5.6	.487	2.0	4.3	.471	0.7	1.3	.540	.668	0.5	0.6	.833	0.4	3.1	3.4	1.3	0.5	0.5	0.6	1.7	8.1
47	Patrick Beverley	PG	30	LAC	53	24	26.6	2.2	5.8	.382	1.3	3.5	.374	0.9	2.3	.393	.495	1.3	1.8	.755	0.8	3.8	4.6	3.5	0.7	0.5	1.1	3.4	7.1
48	Khem Birch	C	26	ORL	21	0	9.2	1.0	2.0	.512	0.0	0.0	.000	1.0	1.9	.525	.512	0.7	0.9	.789	0.8	1.8	2.6	0.6	0.3	0.5	0.2	0.9	2.7
49	Bismack Biyombo	C	26	CHO	27	15	15.4	1.8	3.1	.565	0.0	0.0		1.8	3.1	.565	.565	1.1	1.7	.644	1.6	3.4	5.0	0.6	0.3	1.1	0.6	2.1	4.6
50	Nemanja Bjelica	PF	30	SAC	51	50	23.7	3.8	7.8	.481	1.5	3.4	.428	2.3	4.4	.522	.574	0.9	1.2	.762	1.6	4.3	5.9	2.0	0.7	0.8	1.2	2.5	9.9
51	Antonio Blakeney	SG	22	CHI	40	0	14.5	3.0	7.1	.423	0.8	1.8	.457	2.2	5.4	.411	.479	1.0	1.4	.679	0.2	1.5	1.6	0.6	0.3	0.2	0.6	0.7	7.8
52	Eric Bledsoe	PG	29	MIL	50	50	29.4	6.1	12.4	.492	1.5	4.8	.304	4.6	7.6	.611	.551	2.1	2.8	.768	1.0	3.5	4.5	5.5	1.5	0.4	2.1	2.1	15.8
53	Jaron Blossomgame	SF	25	CLE	25	4	16.3	1.8	3.8	.463	0.4	1.3	.313	1.4	2.5	.540	.516	0.4	0.5	.769	1.0	2.7	3.7	0.4	0.3	0.3	0.4	0.8	4.3
54	Bogdan Bogdanovic	SG	26	SAC	40	8	28.0	5.6	13.0	.427	2.0	5.6	.347	3.6	7.4	.488	.502	2.0	2.5	.818	0.5	3.1	3.6	4.1	1.0	0.2	1.8	2.0	15.1
55	Bojan Bogdanovic	SF	29	IND	52	52	31.8	5.8	11.9	.490	1.9	4.5	.429	3.9	7.4	.527	.571	2.8	3.3	.832	0.5	3.6	4.1	1.7	0.8	0.0	1.5	1.7	16.3
56	Jonah Bolden	PF	23	PHI	27	3	12.7	1.5	3.1	.482	0.5	1.7	.304	1.0	1.4	.703	.566	0.3	0.7	.444	0.9	2.7	3.6	0.6	0.3	0.9	0.9	2.1	3.8
57	Isaac Bonga	PG	19	LAL	8	0	3.9	0.3	1.3	.200	0.0	0.3	.000	0.3	1.0	.250	.200	0.5	0.9	.571	0.4	0.4	0.8	0.8	0.4	0.0	0.3	0.4	1.0
58	Devin Booker	SG	22	PHO	41	41	34.8	8.9	19.2	.461	2.1	6.6	.326	6.7	12.6	.532	.517	5.1	6.1	.847	0.5	3.2	3.7	6.8	0.9	0.2	4.0	3.2	25.0
59	Chris Boucher	PF	26	TOR	15	0	5.5	1.1	2.7	.425	0.6	1.5	.409	0.5	1.2	.444	.538	0.7	0.9	.846	0.6	1.0	1.6	0.0	0.1	1.1	0.1	0.9	3.6
60	Avery Bradley	SG	28	LAC	47	47	29.8	3.3	8.7	.384	1.2	3.6	.341	2.1	5.1	.413	.454	0.4	0.5	.826	0.7	2.0	2.7	2.0	0.6	0.3	1.3	2.7	8.3
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
61	Tony Bradley	C	21	UTA	1	0	9.0	0.0	3.0	.000	0.0	0.0		0.0	3.0	.000	.000	0.0	0.0		2.0	1.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0
62	Corey Brewer	SF	32	PHI	7	3	20.0	2.9	7.0	.408	0.6	2.0	.286	2.3	5.0	.457	.449	1.3	1.9	.692	0.6	1.9	2.4	1.4	1.7	0.3	1.1	2.3	7.6
63	Mikal Bridges	SF	22	PHO	54	40	27.2	2.9	6.6	.441	1.4	3.8	.366	1.5	2.8	.543	.546	0.9	1.1	.807	0.6	2.4	3.0	1.6	1.5	0.5	0.7	2.3	8.1
64	Miles Bridges	SF	20	CHO	50	0	19.1	2.5	5.6	.454	0.7	2.3	.307	1.8	3.3	.554	.516	0.8	1.1	.732	0.6	3.0	3.6	1.0	0.5	0.6	0.6	1.3	6.6
65	Isaiah Briscoe	PG	22	ORL	28	0	11.3	1.1	2.9	.378	0.2	0.6	.353	0.9	2.3	.385	.415	0.3	0.6	.471	0.1	1.3	1.3	1.8	0.1	0.0	0.6	1.5	2.7
66	Ryan Broekhoff	SG	28	DAL	22	0	7.8	1.1	2.4	.462	0.7	1.8	.375	0.4	0.5	.750	.606	0.1	0.1	1.000	0.1	0.8	0.9	0.5	0.0	0.1	0.2	0.5	3.0
67	Malcolm Brogdon	SG	26	MIL	47	47	29.5	5.9	11.6	.513	1.5	3.6	.420	4.4	8.0	.555	.578	2.3	2.4	.946	1.0	3.7	4.7	3.4	0.7	0.2	1.6	1.7	15.6
68	Dillon Brooks	SF	23	MEM	18	0	18.3	2.7	6.8	.402	0.8	2.2	.375	1.9	4.6	.415	.463	1.2	1.7	.733	0.5	1.2	1.7	0.9	0.6	0.2	1.1	2.8	7.5
69	MarShon Brooks	SG	30	MEM	29	0	13.3	2.6	5.8	.450	0.5	1.9	.278	2.1	4.0	.530	.494	0.8	1.1	.697	0.4	1.1	1.6	0.9	0.3	0.1	0.7	1.1	6.6
70	Bruce Brown	SG	22	DET	44	26	20.0	1.9	4.9	.382	0.4	1.4	.270	1.5	3.5	.429	.422	0.7	1.0	.721	0.7	2.2	2.9	1.4	0.5	0.5	0.8	2.6	4.9
71	Jaylen Brown	SG	22	BOS	47	22	26.0	4.8	10.7	.451	1.2	3.7	.320	3.6	6.9	.521	.507	1.9	2.7	.685	1.0	3.4	4.3	1.4	0.9	0.5	1.4	2.6	12.7
72	Lorenzo Brown	PG	28	TOR	26	0	8.2	0.9	2.7	.324	0.2	1.1	.214	0.7	1.7	.395	.366	0.1	0.1	1.000	0.2	1.0	1.2	1.1	0.5	0.2	0.6	0.8	2.1
73	Sterling Brown	SG	23	MIL	40	0	15.9	2.2	4.7	.460	0.9	2.5	.378	1.2	2.2	.551	.559	0.4	0.5	.789	0.5	2.4	2.9	1.3	0.4	0.1	0.7	1.4	5.6
74	Troy Brown	SF	19	WAS	29	0	7.2	0.9	2.2	.400	0.1	0.5	.267	0.8	1.7	.440	.431	0.5	0.7	.667	0.2	1.2	1.3	0.9	0.3	0.0	0.3	0.6	2.4
75	Jalen Brunson	PG	22	DAL	44	12	17.3	2.6	6.0	.434	0.6	1.8	.338	2.0	4.3	.473	.483	0.9	1.3	.691	0.3	1.5	1.8	2.3	0.5	0.0	0.8	1.4	6.7
76	Thomas Bryant	C	21	WAS	42	36	19.1	3.8	5.8	.652	0.3	0.9	.389	3.5	5.0	.697	.680	1.4	1.7	.814	1.4	4.3	5.6	1.0	0.4	0.7	0.8	1.5	9.3
77	Reggie Bullock	SG	27	DET	42	42	30.8	4.1	10.0	.409	2.5	6.6	.383	1.5	3.4	.461	.536	1.3	1.5	.875	0.5	2.2	2.7	2.5	0.5	0.1	1.2	1.8	12.0
78	Trey Burke	PG	26	NYK	33	7	20.9	4.5	10.8	.413	0.9	2.6	.349	3.6	8.2	.434	.455	1.9	2.3	.827	0.5	1.4	1.9	2.8	0.6	0.2	0.9	1.0	11.8
79	Alec Burks	SG	27	TOT	50	23	24.2	3.5	8.7	.400	1.2	3.1	.378	2.3	5.6	.412	.468	2.2	2.7	.822	0.5	3.7	4.2	2.3	0.6	0.4	1.2	1.6	10.4
79	Alec Burks	SG	27	UTA	17	0	15.8	2.8	6.7	.412	0.9	2.5	.372	1.8	4.2	.437	.482	1.9	2.2	.868	0.1	1.5	1.6	1.2	0.4	0.2	0.9	1.3	8.4
79	Alec Burks	SG	27	CLE	33	23	28.5	3.8	9.7	.396	1.3	3.4	.381	2.5	6.3	.404	.463	2.4	2.9	.804	0.7	4.8	5.5	2.9	0.7	0.5	1.3	1.8	11.4
80	Deonte Burton	SG	25	OKC	15	0	8.7	1.3	3.1	.435	0.3	0.9	.308	1.1	2.2	.485	.478	0.3	0.4	.833	0.1	1.0	1.1	0.3	0.2	0.3	0.5	1.1	3.3
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
81	Jimmy Butler	SF-SG	29	TOT	41	41	33.3	6.9	14.5	.478	1.3	3.5	.378	5.6	11.0	.510	.524	4.3	5.1	.848	1.7	3.3	5.0	3.9	2.1	0.6	1.5	1.8	19.5
81	Jimmy Butler	SG	29	MIN	10	10	36.1	7.4	15.7	.471	1.7	4.5	.378	5.7	11.2	.509	.525	4.8	6.1	.787	1.6	3.6	5.2	4.3	2.4	1.0	1.4	1.8	21.3
81	Jimmy Butler	SF	29	PHI	31	31	32.4	6.8	14.1	.481	1.2	3.2	.378	5.6	10.9	.510	.523	4.2	4.8	.872	1.7	3.2	4.9	3.7	2.0	0.5	1.5	1.8	18.9
82	Bruno Caboclo	SF	23	MEM	5	0	23.0	1.6	5.8	.276	1.0	4.6	.217	0.6	1.2	.500	.362	1.8	1.8	1.000	1.0	2.4	3.4	1.0	0.6	1.6	0.6	2.0	6.0
83	Jose Calderon	PG	37	DET	42	0	14.2	1.0	2.7	.365	0.3	1.3	.250	0.7	1.4	.475	.426	0.2	0.3	.818	0.2	1.1	1.3	2.6	0.4	0.1	0.8	1.5	2.5
84	Kentavious Caldwell-Pope	SG	25	LAL	53	12	23.9	3.5	8.1	.432	1.6	4.6	.348	1.9	3.5	.540	.530	1.7	2.0	.858	0.6	2.2	2.8	1.1	0.9	0.1	0.7	1.6	10.3
85	Isaiah Canaan	PG	27	TOT	21	15	24.8	2.5	6.4	.385	1.2	3.7	.338	1.2	2.8	.448	.481	0.7	1.0	.750	0.2	2.1	2.4	3.0	0.6	0.0	1.4	2.2	6.9
85	Isaiah Canaan	PG	27	PHO	19	15	26.5	2.7	6.8	.395	1.3	3.8	.347	1.4	3.0	.456	.492	0.8	1.1	.750	0.3	2.3	2.6	3.3	0.6	0.0	1.5	2.4	7.5
85	Isaiah Canaan	PG	27	MIN	2	0	8.5	0.5	3.0	.167	0.5	2.5	.200	0.0	0.5	.000	.250	0.0	0.0		0.0	0.5	0.5	0.5	0.0	0.0	0.5	0.5	1.5
86	Clint Capela	C	24	HOU	42	42	34.2	7.5	11.9	.631	0.0	0.0		7.5	11.9	.631	.631	2.6	4.1	.626	5.0	7.6	12.6	1.5	0.6	1.8	1.5	2.7	17.6
87	DeMarre Carroll	SF	32	BRK	42	0	25.1	3.4	8.7	.393	1.6	4.6	.342	1.8	4.1	.450	.484	2.7	3.6	.739	1.0	4.0	5.0	1.1	0.4	0.1	1.1	1.6	11.1
88	Jevon Carter	PG	23	MEM	19	3	15.7	1.2	4.6	.264	0.6	2.5	.250	0.6	2.1	.282	.333	0.3	0.5	.556	0.2	0.9	1.1	1.7	0.8	0.3	0.7	1.6	3.3
89	Vince Carter	SF	42	ATL	48	8	15.8	2.3	5.5	.406	1.4	3.7	.371	0.9	1.8	.477	.530	0.4	0.6	.714	0.5	2.2	2.6	1.0	0.6	0.3	0.7	1.7	6.3
90	Wendell Carter	C	19	CHI	44	44	25.2	4.1	8.4	.485	0.1	0.7	.188	4.0	7.7	.513	.493	2.0	2.5	.795	2.0	5.0	7.0	1.8	0.6	1.3	1.5	3.5	10.3
91	Michael Carter-Williams	PG	27	HOU	16	1	9.1	1.6	3.8	.410	0.4	1.2	.368	1.1	2.6	.429	.467	0.8	1.6	.462	0.2	0.6	0.8	1.3	0.6	0.4	0.6	1.7	4.3
92	Alex Caruso	PG	24	LAL	5	0	4.0	0.4	0.8	.500	0.2	0.2	1.000	0.2	0.6	.333	.625	0.2	0.8	.250	0.2	0.0	0.2	0.2	0.0	0.4	0.0	0.6	1.2
93	Omri Casspi	SF	30	MEM	36	0	14.4	2.4	4.5	.534	0.4	1.2	.349	2.0	3.3	.602	.581	1.1	1.6	.672	0.5	2.7	3.2	0.7	0.6	0.3	0.6	1.0	6.3
94	Willie Cauley-Stein	C	25	SAC	52	52	28.4	5.7	10.5	.542	0.0	0.0	.500	5.7	10.4	.542	.543	1.8	3.3	.561	2.5	6.3	8.7	2.7	1.2	0.6	1.3	3.1	13.2
95	Troy Caupain	PG	23	ORL	2	0	4.5	1.0	2.0	.500	0.5	1.0	.500	0.5	1.0	.500	.625	0.0	0.0		0.0	1.0	1.0	1.5	0.5	0.0	0.0	0.0	2.5
96	Tyler Cavanaugh	PF	24	UTA	7	0	2.4	0.3	0.9	.333	0.0	0.4	.000	0.3	0.4	.667	.333	0.3	0.3	1.000	0.1	0.4	0.6	0.0	0.0	0.0	0.1	0.0	0.9
97	Tyson Chandler	C	36	TOT	45	6	17.3	1.3	2.2	.608	0.0	0.0	.000	1.3	2.1	.615	.608	1.1	1.8	.608	2.0	4.3	6.2	0.8	0.4	0.4	0.8	2.2	3.7
97	Tyson Chandler	C	36	PHO	7	0	12.7	1.1	1.7	.667	0.0	0.0		1.1	1.7	.667	.667	1.4	2.6	.556	1.0	4.6	5.6	0.9	0.3	0.1	1.0	3.0	3.7
97	Tyson Chandler	C	36	LAL	38	6	18.2	1.3	2.2	.600	0.0	0.0	.000	1.3	2.2	.607	.600	1.0	1.6	.623	2.1	4.2	6.4	0.7	0.5	0.5	0.7	2.1	3.7
98	Wilson Chandler	PF	31	PHI	36	32	26.4	2.5	5.8	.440	1.3	3.3	.390	1.3	2.5	.506	.551	0.4	0.5	.722	1.2	3.4	4.7	2.0	0.6	0.5	1.1	2.6	6.7
99	Joe Chealey	PG	23	CHO	1	0	8.0	1.0	3.0	.333	0.0	0.0		1.0	3.0	.333	.333	0.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0
100	Marquese Chriss	PF	21	HOU	16	0	6.5	0.7	2.1	.324	0.1	0.9	.067	0.6	1.2	.526	.338	0.4	0.4	.857	0.4	1.3	1.8	0.4	0.1	0.3	0.8	1.1	1.8
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
101	Gary Clark	PF	24	HOU	36	1	14.6	1.0	3.0	.321	0.8	2.8	.293	0.2	0.3	.600	.454	0.2	0.2	1.000	0.5	2.1	2.6	0.4	0.4	0.6	0.1	1.1	2.9
102	Ian Clark	SG	27	NOP	36	0	13.1	1.6	4.2	.388	0.8	2.1	.351	0.9	2.1	.427	.477	0.3	0.3	.917	0.1	1.2	1.3	1.2	0.2	0.1	0.8	1.3	4.3
103	Jordan Clarkson	SG	26	CLE	52	0	26.5	6.6	14.5	.456	1.8	5.3	.341	4.8	9.2	.523	.519	1.7	2.1	.826	0.9	2.4	3.3	2.3	0.7	0.2	1.7	1.6	16.8
104	John Collins	PF	21	ATL	36	34	30.0	7.9	13.5	.586	0.9	2.6	.370	7.0	10.9	.637	.621	2.9	4.0	.731	3.8	6.2	9.9	2.2	0.3	0.4	2.2	3.3	19.7
105	Zach Collins	C	21	POR	52	0	18.6	2.6	5.5	.479	0.6	1.7	.349	2.1	3.8	.535	.531	1.3	1.6	.798	1.4	2.9	4.3	1.0	0.4	0.8	1.0	2.6	7.1
106	Darren Collison	PG	31	IND	52	52	27.8	3.7	8.0	.460	1.0	2.5	.414	2.7	5.6	.481	.524	1.7	2.1	.822	0.4	2.4	2.8	5.8	1.5	0.2	1.6	1.8	10.1
107	Mike Conley	PG	31	MEM	51	51	33.8	6.9	15.9	.433	2.2	6.0	.359	4.7	9.9	.478	.501	4.3	5.0	.844	0.6	2.8	3.4	6.3	1.4	0.3	1.9	1.7	20.2
108	Pat Connaughton	SG	26	MIL	32	1	17.9	2.4	5.5	.434	0.9	3.3	.288	1.4	2.2	.648	.520	0.4	0.6	.700	0.8	2.8	3.6	2.1	0.5	0.5	0.5	1.2	6.1
