Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
401	Terrence Ross	SG	27	ORL	53	0	26.5	5.3	12.3	.431	2.3	6.2	.377	3.0	6.1	.486	.526	1.2	1.4	.840	0.4	2.9	3.3	1.5	0.9	0.4	1.0	1.6	14.1
402	Terry Rozier	PG	24	BOS	52	8	23.0	3.2	8.4	.379	1.5	4.2	.355	1.7	4.2	.404	.468	1.0	1.2	.810	0.5	3.6	4.1	3.1	0.9	0.3	0.9	1.2	8.8
403	Ricky Rubio	PG	28	UTA	47	46	28.7	4.5	11.1	.402	1.4	4.2	.325	3.1	6.9	.449	.464	2.6	3.0	.852	0.4	3.1	3.5	6.1	1.3	0.2	2.9	2.7	12.9
404	D'Angelo Russell	PG	22	BRK	53	53	29.7	7.7	17.5	.439	2.7	7.2	.374	5.0	10.2	.484	.516	1.7	2.0	.815	0.5	3.2	3.7	6.4	1.2	0.3	2.9	1.7	19.7
405	Domantas Sabonis	C	22	IND	50	5	24.9	5.6	9.3	.595	0.1	0.2	.636	5.4	9.1	.594	.603	2.9	4.0	.742	2.6	6.6	9.3	2.8	0.7	0.5	2.2	3.2	14.2
406	Brandon Sampson	SG	21	CHI	2	0	12.5	1.0	2.0	.500	0.5	1.5	.333	0.5	0.5	1.000	.625	0.0	0.0		0.0	1.5	1.5	0.5	0.0	0.0	0.0	1.5	2.5
407	Dario Saric	PF	24	TOT	51	14	24.6	3.4	8.2	.413	1.3	3.9	.337	2.1	4.3	.482	.493	1.5	1.7	.872	1.4	4.2	5.6	1.5	0.5	0.1	1.2	2.2	9.6
407	Dario Saric	PF	24	PHI	13	13	30.5	3.7	10.2	.364	1.6	5.4	.300	2.1	4.8	.435	.443	2.1	2.3	.900	1.6	5.0	6.6	2.0	0.3	0.2	1.9	3.0	11.1
407	Dario Saric	PF	24	MIN	38	1	22.6	3.3	7.6	.436	1.2	3.4	.357	2.1	4.2	.500	.516	1.3	1.5	.857	1.4	3.9	5.2	1.3	0.6	0.1	0.9	2.0	9.1
408	Tomas Satoransky	SG	27	WAS	52	26	23.9	2.9	5.8	.490	0.7	1.8	.418	2.1	4.1	.521	.553	1.3	1.6	.798	0.8	2.2	2.9	4.0	1.0	0.2	1.2	2.0	7.8
409	Dennis Schroder	PG	25	OKC	50	10	28.6	5.9	13.9	.423	1.5	4.2	.354	4.4	9.7	.453	.476	2.4	2.9	.832	0.4	3.0	3.4	4.3	0.9	0.2	2.4	2.2	15.6
410	Mike Scott	PF	30	LAC	50	0	14.0	1.8	4.4	.402	1.0	2.6	.383	0.8	1.8	.429	.514	0.2	0.4	.667	0.5	2.8	3.3	0.8	0.3	0.2	0.5	1.7	4.7
